index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,n_plates
665931,8ZNJ824,CA,PAS,2024-09-16,563.89,0.0,563.89,7,563.89,0.0,0.0,0.0,0.0,113
5028204,KHE5586,NY,PAS,2024-10-15,2622.7,1236.74,1385.96,39,1385.96,654.75,50.0,604.75,9.0,138
3911764,JAB4029,NY,PAS,2024-03-16,524.99,0.0,524.99,6,524.99,154.76,0.0,154.76,2.0,149
4044604,JDA5352,NY,PAS,2024-08-13,447.48,0.0,447.48,5,447.48,0.0,0.0,0.0,0.0,74
5757020,KWU8074,NY,PAS,2024-05-19,569.79,200.36,369.43,7,369.43,0.0,0.0,0.0,0.0,54
7492763,V34RNA,NJ,PAS,2024-08-03,1781.76,784.26,997.5,23,947.5,354.40999999999997,0.0,354.40999999999997,5.0,95
7693750,XPTH73,NJ,PAS,2024-10-31,623.33,0.0,623.33,8,623.33,0.0,0.0,0.0,0.0,133
2512191,GLC6704,NY,PAS,2024-12-15,3033.02,2234.81,798.21,43,798.21,300.86,0.0,300.86,4.0,103
7511776,V75SVD,NJ,PAS,2024-02-03,992.39,0.0,992.39,12,992.39,0.0,0.0,0.0,0.0,80
6305641,LFR3565,NY,PAS,2024-06-24,2138.34,1481.44,656.9,30,656.9,305.31,30.3,275.01,6.0,73
689079,94934MN,NY,COM,2024-05-12,4889.96,3664.96,1225.0,72,1225.0,225.0,0.0,225.0,3.0,55
718100,9CSH523,CA,PAS,2024-03-21,1334.01,917.73,416.28,17,416.28,0.0,0.0,0.0,0.0,119
853348,AK64964,CT,PAS,2024-12-16,543.75,125.0,418.75,7,418.75,0.0,0.0,0.0,0.0,98
6732271,M76NVY,NJ,PAS,2024-06-10,716.79,154.59,562.2,9,562.2,75.04,0.0,75.04,1.0,93
